"","x"
"1258","男：刚才我在屋里，捉住了一只蟑螂，然后把轻轻的放在了门外。女：你没有把它踩死啊？男：是啊，我怎么会踩死它呢，我是很有爱心的，我只不过是把它的腿全部拔掉了？女：？"
"1259","唐僧：“让我来挠你们的痒痒就知道你们谁是假的了。”于是唐僧开始挠他们的痒痒。结果一孙痒，二孙不痒。唐僧：“你为什么不痒？”二孙：“我为什么要痒？”唐僧：“因为我挠你痒痒了。”二孙：“so what？”唐僧：“你需要配合我。”二孙：“都不痒怎么配和。”唐僧：“好好好，你可以去死了，竟然不配合我，不是假的是什么？”"
"1260","诸葛亮与周瑜争论，f(x)=x2是奇函数还是偶函数，诸葛亮：奇函数。周瑜：偶函数。诸葛亮：奇……周瑜：偶……诸葛亮：鸡……周瑜：偶……"
"1261","凡尘寂静，好似一片枫叶落下的声音都清晰可闻。刘备焦急踱步，捧腹来到茅屋，只听诸葛亮在里面喊道：你别做梦了，我不会出来的，你走吧！闻听此言，刘备无奈离去。次日，刘备又来，脚步更加的急，且满脸已是通红无比，不时还有汗液流动。刘备：诸葛兄。诸葛亮：别打扰我，我饿战斗还米有结束呢！我是不会随你作战的！再日，刘备义愤填膺：诸葛亮，我已经三顾茅庐了，你到底是出不出来？诸葛亮：草，谁叫你每次都会是我拉屎的时候来，我没拉完怎么出来！"
"1262","土豆丝跟番茄打架，鸡蛋过来劝架：算啦土豆丝。"
"1263","当你兜里装着20元的时候，不会有什么心里负担，有时候都会忘记它。可当你兜里装着2000元的时候，却总是怕掉了，一会一摸。"
"1264","当一块正要被吃的批萨上爬了蚂蚁时……悲观主义者：我的批萨被蚂蚁吃了……现实主义者：我的批萨上有蚂蚁……乐观主义者：买批萨送蚂蚁……超时空主义者：我的蚂蚁上有批萨……"
"1265","某报社招聘，考题是：假设你现在是秦朝记者，请你报道“焚书坑儒事件”。一应聘者答题：篝火晚会意外发生特大事故，三百儒生不幸遇难，30万册先秦珍贵古籍被焚毁。始皇帝赶赴现场指挥抢救，沉痛哀悼死难者，严厉要求查办失职部门，杜绝类似事件再次发生。"
"1266","感冒了，你多喝点热水吧；发烧了，你多喝点热水吧；胃疼了，你多喝点热水吧；来大姨妈了，你多喝点热水吧……"
"1267","我们总是有做不完的工作，考不完的试，吐不完的怨气，减不完的肥，骂不完的我靠。正因为有了这些，所以才叫生活……"
"1268","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1269","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1270","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1271","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1272","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1273","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1274","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1275","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1276","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1277","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1278","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1279","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1280","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1281","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1282","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1283","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1284","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1285","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1286","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1287","“我喜欢温文尔雅、通情达理、聪慧知性、明达善良、秀外慧中的D杯女。”“说重点。”“我喜欢温文尔雅、秀外慧中的D杯女”“说重点！”“D杯女…”"
"1288","怀柔的美女，顺义的汉，门头沟的傻子满街转；丰台的花，大兴的草，石景山的光棍遍地跑；东城的淑女，西城的狼，宣武的男人是流氓；昌平的风，崇文的浪，通县的打仗一块上；朝阳的鸡，海淀的床，平谷的女人吓死狼；密云的葱，延庆的蒜，房山的姑娘不能看。"
"1289","一只兔子看到一位农夫坐在一棵枯树边打瞌睡，问道：“你不去地里干活，坐在这儿干什么？”农夫答：“我在等你们往这棵树上撞埃”兔子大笑着说：“都啥年代了，不知道我们都用GPS了吗？！”"
"1290","一只兔子对同伴说：“现在，我不用眼红人类，人类该眼红我们了。”同伴问：“这话怎么讲？”兔子答：“你想啊，我们都有三套房子了，他们却连一套房子都买不起！”"
"1291","这几天心里颇不宁静。傍晚在院子里坐着乘凉，忽然想起前些天买进的股票，在这崩盘的世界里，总该另有一番样子吧。CPI渐渐升高了，交易大厅股民们的欢笑，已经听不见了；夫君在屋里看着大盘，选着黑马。我悄悄打开电脑，分析着行情。"
"1292","地势是盆地的，空气是清新的，绿化是很好的，天空是湛蓝的，防晒是必须的。拉面是到处有的，市场是脏乱的，食堂是不能吃的。美女还是有的，就是不理你的。专业是冷门的，不过是强悍的，地理是不能学的，早晚会逼死人的。性价比是很高的，敢来的都是好样的。"
"1293","黄土高坡，天高云淡。放羊的汉子在晒太阳呢，忽然看见对面山坡上一个村里美丽的女娃在割草，马上精神振奋，唱起了信天游：“妹妹呀山坡啊火辣辣地想，哥哥俺放羊啊在河床，哎呀嘿嘿呦……”女娃也来了兴致，对歌一首：“十八里高坡啊担担的面，哥哥呀你的窑洞在村头，放你的羊吧别回头……”"
"1294","在刘备之前有很多名人拜访过诸葛亮却无一成功，唯有刘备三顾茅庐便得第一军师，后人有人说刘备身怀大气运，有人说诸葛亮逆天算命已得的结果，也有人说刘备乃有高人相助，实则刘备仅凭四句话得矣！一顾茅庐，刘备曰：“你发妻姓黄，名月英，沔阳名士黄承彦之女！”二顾茅庐，刘备曰：“你发妻有一洁癖，睡觉时喜欢抚摸对方的耳朵方可入睡！”三顾茅庐，刘备曰：“你发妻臀部有一黑痣于屁缝右侧半寸！”诸葛亮听至此处怒发冲冠，推门而出..............."
"1295","潘金莲与西门庆私通不慎怀孕，蒙在鼓里的武大郎高兴地说：“我武大郎终于有武小郎了。”潘金莲说：“我们的儿子长得象你这么矮多难看呀！”武大郎说：“我希望儿子长得帅气。”潘金莲说：“长得像西门庆那么帅，好吗？”武大郎说：“像他那么帅好，但是不能像他那样风流。”潘金莲说：“按我说，儿子像西门庆那样帅，像东郭先生那么慈善，像南郭先生那样聪明，像武大郎那样对我好，我最满足了。”......"
"1296","甲：哥们，怎么啦？萎靡不振的。乙：我目前状态是在浪费时间，在挥霍时光，在模糊现在，在恐惧未来。"
"1297","一计划生育工作者在墙上刷一大标语：女人四十以后再生子，红颜从此不薄命！"
"1298","TA什么都不做，只让你去做，你怎么做都不会达到TA的要求。TA，不是领导就是老婆！"
"1299","给我一个支点，我把邻居那小子的汽车撬到沟里去，省得他见我就按喇叭。"
"1300","这日见身边一个三岁左右的小姑娘，抠出一快鼻屎放在嘴里嚼起来。我惊讶：你怎么把自己的鼻屎吃了，你爸爸妈妈没有告诉你这东西脏不能吃吗？她说：我尝尝，他们在那边呢看不见我。我好奇地问：什么味道？她说：咸的，还挺筋斗。阿姨你也尝尝自己的鼻屎是什么味道吧！"
"1301","猪妈妈给小猪洗澡，小猪说：“妈妈妈妈，水太烫啦！”猪妈妈一听，就又加了点热水，结果小猪被烫死了……猪妈妈得意的说：“嘿嘿，这下好了，死猪不怕开水烫嘛！”"
"1302","原始森林里，一只虎宝宝远远的看到一位野生动物专家拿着放大镜，对着一堆它们的粪便趴在地上认真的观察。虎宝宝妈虎妈妈说：“他们真够可怜的，为了证明我们的存在，都累成那样儿了。”虎妈妈说：我这不也是可怜他，才给他留下了一堆粪便，让他发表一篇论文吧。"
"1303","经常看电视剧里面说：“不孝有三，无后为大。”看那么多电视剧不知道其它那两项不孝的请举手……"
"1304","今天和女友逛街，她吃烧烤能弄脏了嘴，我自告奋勇从她包里拿出餐巾纸帮她擦。可当纸巾离她嘴巴还有零点一公分的时候我发现女友瞪圆了双眼。仔细一看才发现是她的护垫！周围路人憋成内伤，然后就没然后了……"
"1305","早上，室友小a打电话给他女朋友，说晚上给她看纹身。他女朋友说：“你就是纹出3D感的身躯，也改变不了你2B一样的气质！！！”"
"1306","树上，乌鸦叼着块肉，狐狸见了，想起自己祖宗骗吃故事，便对乌鸦说：“凤姐，您没穿时装啊？”乌鸦不理。狐狸又说：“中国好声音是个屁，与您一比。能来一嗓子吗？”仍不理。狐狸生气：“靠，不就是个丑八怪吃货吗，还装。”“你……”乌鸦嘴一张，肉掉了。有时候，诋毁比谄媚更易得手。"
"1307","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1308","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1309","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1310","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1311","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1312","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1313","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1314","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1315","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1316","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1317","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1318","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1319","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1320","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1321","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1322","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1323","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1324","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1325","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1326","哥们在路上捡了条大狗，看可怜就带回家了……狗要占地盘，老在家撒尿，屡教不改。朋友终于忍耐不住，脱下裤子，在狗刚撒尿的地方也撒了一泡尿，并告诫此狗，这是老子的地盘。话说这狗从此再也没有在家撒过尿。"
"1327","双节期间，我一同学回家，本来两个小时的路程由于堵车开了八个小时。结果这哥们到家已经是后半夜，随即改了状态：上车中秋节，下车国庆节…"
"1328","学车的时候，考路试。考官坐副驾驶问：叫啥名？我说：余文乐。然后挂一档起步，到转弯时考官突然来了一句:“八千转，两公里。”我侧头一看教官胸前的工作牌，姓名一栏赫然写着：黄秋生……"
"1329","医生说：哥开的不是药方而是抽成。司机说：哥跑的不是路程而是钱程。官员说：哥要的不是项目而是经费。乞丐说：哥讨的不是同情而是金钱。教师说：哥育的不是学生而是财树。包工说：哥包的不是工程而是利润。白脸说：哥抱的不是女人而是厚禄。干部说：哥上的不是公务而是财路。海盗说：哥发的不是枪弹而是横财。农民说：哥收的不是庄稼而是物价。"
"1330","梁山伯与祝英台同住一室，久而久之，他开始质疑祝英台的行为。他问祝英台：“你走路挺胸那么高干吗？”祝英台说：“我挺胸脯是因为我过去经常做俯卧撑，导致胸肌过于发达，人家开始怀疑我有奶子，我就不敢再做了。”梁山伯又说：“昨晚我去拉尿发现你坐在尿桶上，怎么象个娘儿们？”祝英台说：“我怕站着拉尿响声过大影响你休息，坐着可把尿射到桶壁流下去，这样子瀑布变成涓涓细流，文雅多了。”......"
"1331","金钱，权利，美女为了证明谁更有魅力，于是化身人类......路遇一小男孩，金钱问：“拥有我你可以买任何东西，你想要吗？”小男孩：“我可以用1元RMB买1美元吗？”金钱：“.......”权利：“拥有我，你可以为所欲为，想干嘛就干嘛！你想要吗？”小男孩：“我怕被爸爸打屁股，你看我PP现在还红着呢！”权利：“.......”美女：“男人都想拥有我，因为我可以让他们欲仙欲死，你想要吗？”......"
"1332","凤姐：“知道我为什么嫁你吗？”犀利哥：“不知道，有话快说！”凤姐：“以后衣服不用买了！”犀利哥：“为什么？”凤姐：“你捡来的比我买的搭配起来还好看！”"
"1333","两个不同世界的人——犀利哥和凤姐，在媒体的渲染助波下踏上了婚姻的殿堂.......犀利哥：“知道我为什么娶你吗？”凤姐：“不知道，你说！”犀利哥：“娶了你我就可以站在全美国人之上了！”凤姐：“为什么？”犀利哥：“奥巴马都被你抛弃了！”"
"1334","老感觉美食节目的主持人，你就是给他一坨屎他都能吃出7-8个味来，还一脸享受的表情。"
"1335","如果有人跟你说：这两件商品惟一的区别就是价格，白的比黑的贵800块，你会不会觉得他疯了——不会，因为他是乔布斯；如果有人跟你说，新一代产品贵1000块只多一个功能，嗯，这个功能在你的国家好像不能用。你觉得在这个国家还卖得出去吗——可以，因为这里是中国。"
"1336","晚上在楼下广场遛达，一个大叔每晚都把自己家的K歌装备搬到广场上，音响、电视、麦，可以随便点歌唱，一个老奶奶拿个麦在那里唱着什么？走进一听刚好唱到：“你的微博辣妹很多，原来我也只是其中一个……”真是伤不起啊……"
"1337","见过开日本车被打的，买日货被打得。今天在海鲜大排档我看到了，因为吃海鲜用日本芥末被打的……"
"1338","牧羊人发现自己的羊少了几只，准备把羊圈补好，防止狼再进来。这时所有的羊纷纷抗议：“主人啊，你这样做太不公平了。”牧羊人到：“为什么？我这可是为了你们好埃”羊们说道：“走的那几只羊是到狼穴当贵妇人去了，现在狼已不再吃羊了。”牧羊人问：“谁说狼不吃羊了？”羊们说：“真的，《狼爱上羊》您难道没有听吗？让狼把我们叫走吧，过几天我们给你拐过来几只狼，您不就发财了吗？”"
"1339","刘备领着关张二人前去寻访卧龙。经乡人指引，终于来到草庐前。刘备整理衣衫，正要前去叩门，张飞却抢先一步，将门敲得震天响，大声喊道：“诸葛亮，快出来，我哥哥刘皇叔来三顾茅庐啦！”"
"1340","记者采访唐僧西行取经团队，首先问唐僧：“你幸福吗？”唐僧说：“我吃斋念经就幸福，吃鱼吃肉很痛苦要吐骨头，读书很累要做作业。”记者问孙悟空说：“你幸福吗？”孙悟空说：“我能放开手脚打妖魔鬼怪就幸福，可师父来鉴定是不是妖怪，我不知道他是好色还是好义，让我痛失下手机会。”记者问猪八戒说：“你幸福吗？”猪八戒说：“我要是能经常看到妖精就幸福，可是大师兄总坏了我的好事，我只看到妖精屁滚尿流。”记者最后问沙和尚：“你幸福吗？”......"
"1341","小时候盼着长大，觉得长大后就会什么都不害怕了，结果……长大了。却怀念小时候，至少害怕的时候可以找依靠，而长大后却只能假装坚强。"
"1342","有些女孩传达给男人的感觉永远都是：“老娘没有你们一样活得很好，死开”。所以她们一直没有男朋友。"
"1343","邻居家的狗狗～～邻居家有条菜狗，经常在路上串来串去，昨天被一辆车撞到，倒在地上。那司机下车一看它躺在地上一动不动，就给它的主人200元了事了。结果车一开走，这货腾的起来跑回家了……成精了。"
"1344","昨天去隔壁城市找朋友玩，今儿没事去逛街，顺便买条蛇，因不好拿装手提袋里，在火车站给人抢走了。真特么第一次让人抢了还这么高兴 ，不知道抢包那丫打开后什么表情。"
"1345","莫言上台领奖，台下掌声议论声不停，莫言获奖感言第一句：My chinese name is “ shut up”!台下顿时安静了……"
"1346","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1347","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1348","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1349","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1350","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1351","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1352","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1353","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1354","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1355","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1356","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1357","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1358","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1359","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1360","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1361","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1362","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1363","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1364","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1365","白鼠，灰鼠和黑鼠同时追求鼠公主，三鼠各种条件都差不多，鼠公主一时难以抉择。这时鼠公主的妈妈出现了，她毫不犹豫的帮女儿选择了白鼠。鼠公主不解，问妈妈为什么选择白鼠，只见妈妈肯定的回答到女儿:“因为只有它能白手起家！”"
"1366","他和她经常组队打怪，一起升级，可是有一天，她忽然不上线了。他再也找不到她，专情的他执着地带着自己的宠物开始单练。很久以后，他机缘巧合发现，原来她的角色是卡在一个副本里出不来了，帮她解决了这个问题后，两人又重新过上了组队升级的快乐生活。好了，朋友们，这就是神雕侠侣的故事。"
"1367","洪七公手臂内弯，右掌划圆，呼的一声推出，掌风到处，一棵松树应声折断。郭靖大吃一惊，七公道：“这招叫做亢龙有悔”。说完跃起半空，一掌凌空劈下，“这招唤作飞龙在天。”落地后扭胯蹬地，踏起一片烟尘，仿佛策马奔驰原野。郭靖一声惊叹：“这招又叫什么。”七公笑道：“江南style！”"
"1368","今天在卫生间洗了个水蜜桃，想甩干上面的水，手一甩掉进了马桶里！还正好塞住了那个窟窿眼，太杯具了！更杯具的是比起“马桶不会堵住吧”和“这要怎么掏出来啊”。更快浮现在我心头的想法是“洗洗还能吃吗？”"
